<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:54;105 070  ;105 140  ;105 070  ;105 140  ;30;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:55;105 150  ;105 220  ;105 150  ;105 160  ;110;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:56;105 170  ;105 340  ;105 170  ;105 220  ;90;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:57;105 330  ;105 430  ;105 330  ;105 390  ;102;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:58;105 440  ;105 580  ;105 440  ;105 520  ;123;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:59;105 540  ;105 540  ;105 500  ;105 500  ;19;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:00;105 500  ;105 510  ;105 490  ;105 490  ;31;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:01;105 500  ;105 730  ;105 500  ;105 700  ;154;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:02;105 680  ;105 680  ;105 590  ;105 620  ;19;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:03;105 630  ;105 630  ;105 610  ;105 610  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:04;105 610  ;105 610  ;105 580  ;105 580  ;144;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:05;105 580  ;105 630  ;105 580  ;105 630  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:06;105 560  ;105 570  ;105 560  ;105 560  ;32;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:07;105 550  ;105 550  ;105 530  ;105 530  ;12;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:08;105 510  ;105 520  ;105 510  ;105 520  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:09;105 510  ;105 530  ;105 510  ;105 530  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:10;105 530  ;105 550  ;105 530  ;105 550  ;35;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:11;105 570  ;105 570  ;105 500  ;105 530  ;35;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:12;105 510  ;105 510  ;105 500  ;105 500  ;27;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:13;105 480  ;105 500  ;105 480  ;105 500  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:14;105 480  ;105 480  ;105 440  ;105 440  ;36;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:15;105 460  ;105 480  ;105 460  ;105 480  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:16;105 470  ;105 490  ;105 460  ;105 490  ;31;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:17;105 480  ;105 480  ;105 420  ;105 420  ;41;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:18;105 460  ;105 490  ;105 460  ;105 490  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:19;105 500  ;105 500  ;105 500  ;105 500  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:20;105 500  ;105 500  ;105 500  ;105 500  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:21;105 510  ;105 550  ;105 510  ;105 550  ;49;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:22;105 580  ;105 590  ;105 570  ;105 570  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:23;105 590  ;105 610  ;105 590  ;105 600  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:24;105 610  ;105 610  ;105 570  ;105 590  ;64;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:25;105 590  ;105 610  ;105 590  ;105 610  ;19;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:26;105 550  ;105 550  ;105 550  ;105 550  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:28;105 540  ;105 540  ;105 540  ;105 540  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:31;105 470  ;105 470  ;105 440  ;105 440  ;20;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:32;105 450  ;105 450  ;105 450  ;105 450  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:33;105 420  ;105 450  ;105 400  ;105 400  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:34;105 390  ;105 390  ;105 380  ;105 380  ;32;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:35;105 350  ;105 370  ;105 350  ;105 370  ;59;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:37;105 430  ;105 430  ;105 430  ;105 430  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:40;105 460  ;105 460  ;105 410  ;105 410  ;22;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:41;105 400  ;105 400  ;105 360  ;105 360  ;23;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:42;105 350  ;105 350  ;105 350  ;105 350  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:43;105 370  ;105 370  ;105 350  ;105 360  ;29;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:44;105 360  ;105 360  ;105 360  ;105 360  ;3;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:46;105 380  ;105 390  ;105 380  ;105 390  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:49;105 390  ;105 390  ;105 390  ;105 390  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:50;105 390  ;105 390  ;105 390  ;105 390  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:52;105 350  ;105 370  ;105 350  ;105 370  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:53;105 360  ;105 360  ;105 320  ;105 320  ;39;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:54;105 340  ;105 360  ;105 340  ;105 350  ;27;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:55;105 380  ;105 400  ;105 380  ;105 400  ;30;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:56;105 380  ;105 400  ;105 380  ;105 400  ;30;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:57;105 380  ;105 410  ;105 380  ;105 410  ;34;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:58;105 380  ;105 380  ;105 380  ;105 380  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;13:59;105 380  ;105 390  ;105 370  ;105 370  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;14:00;105 410  ;105 430  ;105 410  ;105 430  ;11;;;;;;
SPFB.RTS-12.18;1;12.09.2018;14:06;105 420  ;105 420  ;105 380  ;105 420  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;14:07;105 360  ;105 360  ;105 360  ;105 360  ;13;;;;;;
